url,title
http://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.
http://books.toscrape.com/catalogue/the-kite-runner_847/index.html,The Kite Runner
http://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,The Emerald Mystery
http://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First
http://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,The Artist's Way: A Spiritual Path to Higher Creativity
http://books.toscrape.com/catalogue/the-argonauts_837/index.html,The Argonauts
http://books.toscrape.com/catalogue/the-art-of-war_838/index.html,The Art of War
http://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job
http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,Suddenly in Love (Lake Haven #1)
http://books.toscrape.com/catalogue/something-more-than-this_834/index.html,Something More Than This
http://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,Soft Apocalypse
http://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html,Secrets and Lace (Fatal Hearts #1)
http://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,Shoe Dog: A Memoir by the Creator of NIKE
http://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,"Shobu Samurai, Project Aryoku (#3)"
http://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,Scarlett Epstein Hates It Here
http://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,So You've Been Publicly Shamed
http://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,Romero and Juliet: A Tragic Tale of Love and Zombies
http://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,Poems That Make Grown Women Cry
http://books.toscrape.com/catalogue/nightingale-sing_823/index.html,"Nightingale, Sing"
http://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Mrs. Houdini
http://books.toscrape.com/catalogue/redeeming-love_826/index.html,Redeeming Love
http://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form
http://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,Night Sky with Exit Wounds
http://books.toscrape.com/catalogue/modern-romance_820/index.html,Modern Romance
http://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1)
